Year,Number.thousands,realGDPperCap,PopulationK,percentile,income
2007,77908,51781.019056,301696,20,30856
2007,77908,51781.019056,301696,40,54827
2007,77908,51781.019056,301696,60,83054
2007,77908,51781.019056,301696,80,124734
2007,77908,51781.019056,301696,50,67480.3798003538
2007,77908,51781.019056,301696,90,121396
2007,77908,51781.019056,301696,95,172037
2007,77908,51781.019056,301696,99,441720
2007,77908,51781.019056,301696,99.5,699934
2007,77908,51781.019056,301696,99.9,2273381
2007,77908,51781.019056,301696,99.99,12708323
2008,78874,51147.997774,304543,20,29646
2008,78874,51147.997774,304543,40,52601
2008,78874,51147.997774,304543,60,79981
2008,78874,51147.997774,304543,80,120723
2008,78874,51147.997774,304543,50,64862.0118482305
2008,78874,51147.997774,304543,90,116301
2008,78874,51147.997774,304543,95,162863
2008,78874,51147.997774,304543,99,392680
2008,78874,51147.997774,304543,99.5,595812
2008,78874,51147.997774,304543,99.9,1807653
2008,78874,51147.997774,304543,99.99,9747948
2009,78867,49278.210716,307240,20,28832
2009,78867,49278.210716,307240,40,51291
2009,78867,49278.210716,307240,60,78507
2009,78867,49278.210716,307240,80,120471
2009,78867,49278.210716,307240,50,63456.3041549065
2009,78867,49278.210716,307240,90,113563
2009,78867,49278.210716,307240,95,156709
2009,78867,49278.210716,307240,99,352276
2009,78867,49278.210716,307240,99.5,519944
2009,78867,49278.210716,307240,99.9,1428056
2009,78867,49278.210716,307240,99.99,6985550
2010,79559,50100.228996,309776,20,27928
2010,79559,50100.228996,309776,40,50548
2010,79559,50100.228996,309776,60,77929
2010,79559,50100.228996,309776,80,119463
2010,79559,50100.228996,309776,50,62762.6886932037
2010,79559,50100.228996,309776,90,113571
2010,79559,50100.228996,309776,95,158230
2010,79559,50100.228996,309776,99,365026
2010,79559,50100.228996,309776,99.5,545224
2010,79559,50100.228996,309776,99.9,1560625
2010,79559,50100.228996,309776,99.99,8271544
2011,80529,50656.099431,312036,20,27787
2011,80529,50656.099431,312036,40,49515
2011,80529,50656.099431,312036,60,76567
2011,80529,50656.099431,312036,80,118286
2011,80529,50656.099431,312036,50,61572.8430803711
2011,80529,50656.099431,312036,90,112852
2011,80529,50656.099431,312036,95,158268
2011,80529,50656.099431,312036,99,368505
2011,80529,50656.099431,312036,99.5,552862
2011,80529,50656.099431,312036,99.9,1582160
2011,80529,50656.099431,312036,99.99,8120723
2012,80944,51692.390616,314278,20,27794
2012,80944,51692.390616,314278,40,49788
2012,80944,51692.390616,314278,60,76538
2012,80944,51692.390616,314278,80,119001
2012,80944,51692.390616,314278,50,61730.6564358423
2012,80944,51692.390616,314278,90,113820
2012,80944,51692.390616,314278,95,161438
2012,80944,51692.390616,314278,99,393941
2012,80944,51692.390616,314278,99.5,611805
2012,80944,51692.390616,314278,99.9,1906047
2012,80944,51692.390616,314278,99.99,10256235
